replication,kpi1,kpi2,kpi3,kpi4
replication1,0.08431547888988106,0.28574509381065344,1.5276664899343406,0.29756945213711605
replication2,0.08199894302952028,0.2404080727434021,1.3492423035147831,0.28524493529638184
replication3,0.08358530407439539,0.277681096367196,1.56917585624112,0.29635864971932624
replication4,0.08318440970962304,0.23737704918032787,1.264996159993811,0.2821118162639295
replication5,0.0822757437947592,0.24839637248396373,1.4031799355448944,0.2884697518614831
replication6,0.08454822909923024,0.294794579479458,1.6063894416319238,0.3071348689293822
replication7,0.0840310507709245,0.2552477818653971,1.3967924852755105,0.29475645884504104
replication8,0.08169240024405748,0.2414867571778322,1.3092181577514328,0.2859216073678277
replication9,0.08489571985592931,0.30620985010706636,1.6327471215833516,0.30604584880496477
replication10,0.0817275113183692,0.24621886120996442,1.2942420281751346,0.2794687901451243
replication11,0.08406102166353957,0.26915584415584415,1.4490175789094937,0.2891498667523619
replication12,0.08410967378211037,0.28620838737570253,1.5523983847238112,0.2996719713925316
replication13,0.08400052616733213,0.25865800865800864,1.37997062683234,0.2817312933789332
replication14,0.08354927895019976,0.2697704775372566,1.4086242778008504,0.2917999000627672
replication15,0.0846704814429542,0.24876476906552095,1.3139370441041722,0.2866404470705666
replication16,0.08289496541038989,0.2788988813336258,1.480597841212094,0.2902411745857569
replication17,0.08502374932011866,0.28898395721925135,1.5458799721413905,0.29411640232505265
replication18,0.0819603983223798,0.25463014306310305,1.3535116196776904,0.2852465562362064
replication19,0.08375840554711687,0.2637291078793141,1.45790750037762,0.2990815993554818
replication20,0.08292047581285977,0.2578947368421053,1.3919150712303283,0.28734485584403874
replication21,0.08509839388783975,0.2919606585418003,1.6218331952492395,0.2994962658838108
replication22,0.08451612680524791,0.28463855421686746,1.5655298257372803,0.29893696982652046
replication23,0.08505978453386484,0.29572192513368983,1.5282803450180475,0.2963238969969925
replication24,0.0831544313169559,0.28063846069749643,1.566916896908226,0.30093500618542884
replication25,0.08505177111686499,0.2624545648920248,1.4640869074378484,0.29994271819547136
replication26,0.08375524463253478,0.26595744680851063,1.4727969833283736,0.2991311394726095
replication27,0.08400116495851838,0.23435808616583675,1.2632940401159773,0.2884073418788276
replication28,0.08372663646652762,0.29860960243319573,1.6693545946254449,0.3002634074322107
replication29,0.08240422980017223,0.23753309796999117,1.3524694472929655,0.2917980682680232
replication30,0.08278976022196391,0.2720386431002305,1.4434387429730193,0.29345488853749346
replication31,0.08213431886478242,0.25354138999557324,1.4286539351162624,0.2889540280561052
replication32,0.08308047120709355,0.2538309982486865,1.3660824513719205,0.2903281029507796
replication33,0.0811926995876949,0.25963261648745517,1.3965967016468464,0.28475789102242793
replication34,0.08476491496710684,0.25954525954525953,1.4134142333770037,0.3009871386438227
