replication,kpi1,kpi2,kpi3,kpi4
replication1,0.08279956547915057,0.39356680206389283,2.578192669770697,0.37388789547417406
replication2,0.08403839082217499,0.43592516491835187,2.8458789865254617,0.37508836615335434
replication3,0.08222982790390507,0.3942307692307692,2.5933546266889786,0.3709115368131456
replication4,0.08500890774286596,0.44392173634128085,3.015045536836917,0.3925578843495122
replication5,0.08410153792578923,0.4449367772614287,2.8449708089687973,0.38095174361701295
replication6,0.08456235483523178,0.4286789207782436,2.7948659779356135,0.38171028280897934
replication7,0.08494091222685708,0.42779204107830554,2.6862868586302646,0.378228454678142
replication8,0.08309340559941379,0.3969832768608591,2.5962522736718237,0.38189635850136866
replication9,0.08399009973195676,0.43470734609975115,2.7738328616750625,0.37205527446806697
replication10,0.08377251955073121,0.47098383772643454,3.1031541113414987,0.3845182322402803
replication11,0.08202716702603981,0.4226038781163435,2.8314857689706847,0.37501845143665763
replication12,0.08217682582992483,0.43928334439283345,2.9310576446202496,0.366841986420965
replication13,0.08387708982510823,0.39876503087422815,2.6498668758976813,0.3789571253190671
replication14,0.08248169193931956,0.3756473829201102,2.474030865541238,0.3741260060050204
replication15,0.08425851619314922,0.46522161112908444,3.052229398617548,0.37525406391588084
replication16,0.08327457274156672,0.3812070282658518,2.4931297040928286,0.3701324289777722
replication17,0.08233642624968185,0.43128380615962025,2.874064859018629,0.3755494135529425
replication18,0.0840993163588779,0.4359667134983249,2.8345320631211863,0.37658140347820573
replication19,0.08353493690896219,0.4112718964204113,2.736898914720454,0.378810255899223
replication20,0.08196734543292114,0.4055882026832243,2.64995882349773,0.3724958869848687
replication21,0.08446394047858062,0.4199031737493276,2.7801133250512744,0.3813035425995764
replication22,0.08372656393381109,0.39007708175008143,2.6268674741330056,0.3751150191984541
replication23,0.08326365284474821,0.37987119310118983,2.4627138416620165,0.37269510717510584
replication24,0.0838348891810521,0.41333333333333333,2.6642149887985034,0.3817616241931166
replication25,0.08384915227735437,0.38571583396553594,2.5211464084489217,0.3680967256917592
replication26,0.08290342754176348,0.39666703212367066,2.7194672592202,0.3722148325599208
replication27,0.0833270778005203,0.4162757717901167,2.8654332556464808,0.38268201011888436
replication28,0.083426530726205,0.4057292233961442,2.808866203677607,0.3784169872856476
replication29,0.08133526292587745,0.4077550564308861,2.701141763729012,0.37230077035275383
replication30,0.08245386548477708,0.38661669055230957,2.5790796939005918,0.37307012198858475
replication31,0.08409067265239556,0.42708896335531293,2.7410110518722557,0.3815385432409187
replication32,0.08414378209066321,0.42648806308739334,2.7917969394734916,0.38595355645941337
replication33,0.08290832896596409,0.4169681025978297,2.862694400183613,0.3752858191266058
replication34,0.08250860337477041,0.3805221989644156,2.419255979381171,0.37049465257851705
replication35,0.08381395825428134,0.3986552434660015,2.5798341180522093,0.37507450598966247
replication36,0.08140345316761478,0.4095121134308362,2.6770997569547714,0.3658663297273065
replication37,0.08331597382776083,0.4413176265270506,3.0119767623826936,0.3781280666338801
replication38,0.08311685371764904,0.4101694915254237,2.777737984516072,0.38422278776212304
replication39,0.08375511593479784,0.4243081931633207,2.797486579925765,0.37752831207859233
replication40,0.08193808873994311,0.4388513138928928,2.9931888596638005,0.3831010157742415
replication41,0.08182744174415583,0.4148156374944469,2.7142808137443173,0.37333638331558266
replication42,0.08418254496587498,0.43398467019324194,2.8178535797061577,0.38493265678640226
replication43,0.08359225717614721,0.38521739130434784,2.484895255490762,0.3785385882843254
replication44,0.08461506487832157,0.37028681920721884,2.4396960428479506,0.3709819831382297
replication45,0.08262942691189264,0.3967660323396766,2.59499717343397,0.3742980138716161
replication46,0.08325085247625194,0.4380526143434123,2.7771611797078424,0.3831491879664555
replication47,0.08314043355395993,0.43277219064276345,2.7487952838468677,0.36959177159088197
replication48,0.08403465971759615,0.49150892374256355,3.1696950934949,0.38221842933308503
replication49,0.08108635019557286,0.397175837722739,2.5686550797137064,0.36883334692311853
replication50,0.08249515286583968,0.39550512283794204,2.633257105611427,0.377468537745614
replication51,0.08359788933933564,0.477060230484888,3.106496267187286,0.3822936822388413
replication52,0.08331060059917995,0.3763769222379758,2.4290061297631724,0.3687902602802132
replication53,0.08528450676135038,0.3981244671781756,2.562193587004571,0.3833756350971619
replication54,0.08245927829857432,0.39239669421487605,2.5509294259681194,0.3704410796625266
replication55,0.08452577046527304,0.46155500591461446,2.984971415529518,0.383267702394374
replication56,0.08284564171955068,0.38354360943499727,2.5089234981206165,0.3729203115395573
replication57,0.08366355273814517,0.3842476914720261,2.416723943088054,0.36955148809363475
replication58,0.08382509906373058,0.3892442806028407,2.3723858677192577,0.3735700196444768
replication59,0.08583785542389417,0.4014822657490736,2.5190146752011655,0.3906935201904466
replication60,0.084218094927781,0.41365548484521625,2.7491983165146334,0.38761763277533917
replication61,0.08219859112593232,0.4141514648977336,2.6633995642878747,0.37027703755235336
replication62,0.08190784848889911,0.3856397736100322,2.450683467849262,0.36592598383150793
replication63,0.08599654550731048,0.4443740095087163,2.91200903017863,0.3859111853017096
replication64,0.08262073965137151,0.4025959740402596,2.588810425847639,0.36888989479678325
replication65,0.08146674269103459,0.37911413589200044,2.4964068215945274,0.3576155050836874
replication66,0.08248741182604741,0.3885399449035813,2.6354906943610614,0.3716303159614826
replication67,0.08175682897661035,0.36464702612562533,2.418930041191516,0.3651152105609546
replication68,0.08374131271909632,0.407250624118094,2.6001955741222544,0.37462339341460205
replication69,0.08503480061026568,0.417334615795661,2.728263065857721,0.3768486577042369
replication70,0.08218011425194428,0.4017472077850271,2.6778178966460695,0.36773794344158195
replication71,0.08175065623292868,0.40835834166944535,2.6432030632427703,0.36623383129833603
replication72,0.0838699112148446,0.44600888118704646,2.8698194318407877,0.37579941406926815
replication73,0.08349257968862722,0.4181264280274181,2.7633378279344587,0.3778966291119297
replication74,0.0842527694807854,0.46747923632833566,2.95564277251927,0.3753396414763353
replication75,0.08467727443043686,0.38605150214592276,2.6191369832395752,0.37556782622692925
replication76,0.08343339500817236,0.40647129316919056,2.607521649843365,0.3682345856078748
replication77,0.08347423511733938,0.4468270382061609,2.9569014820740196,0.38899705750403907
replication78,0.0834269668449255,0.3983004684606166,2.674780756578367,0.37687653115659664
replication79,0.0825598362375138,0.37655476059438636,2.4867439869748367,0.36964368845748585
replication80,0.08333474197456155,0.4044919319668556,2.6071016276587473,0.37104273228955154
replication81,0.08178395716361747,0.4002888567936896,2.6162885379709593,0.37571286287425915
replication82,0.08421449219527607,0.3981871155713823,2.5694951761451343,0.37981777842746806
replication83,0.08292483501465658,0.35575764216062233,2.3626502371161267,0.37059901557203373
replication84,0.08354438996133554,0.39734522902839736,2.5821453011093003,0.38038565510158423
replication85,0.08084943786824043,0.33108639478710256,2.2520573195250604,0.3612172943977638
replication86,0.0825360772704283,0.3818121765936365,2.5492931565494685,0.374253583206279
replication87,0.08492043503973315,0.4141803015720244,2.7880783378476868,0.39049946834019766
replication88,0.08330490124163598,0.4088578597141922,2.8423946685160186,0.3848532342287547
replication89,0.083103533206172,0.3735097889095483,2.466374719853584,0.37534917655674876
replication90,0.08307160360429838,0.44687602582339425,3.0128048381653865,0.37811239170300065
replication91,0.08489383172856582,0.42598737022369687,2.7865717700866828,0.38222753262240733
replication92,0.08179876591556064,0.3938215357261918,2.6243497361695827,0.37514055605507535
replication93,0.08246923912507456,0.4041662074286344,2.5861635112393655,0.3701913919738147
replication94,0.08521963017676018,0.4223099072197931,2.882076286472387,0.39098285112630404
replication95,0.08334053323391018,0.41936539090611713,2.82410077830142,0.37811719821653145
replication96,0.08165434292439977,0.36001335856618055,2.3581066940237134,0.36635974285427836
replication97,0.08286529604174224,0.38622655992981686,2.594539683145019,0.37096989436000305
replication98,0.08451909624818531,0.40425760670895605,2.6834096763417885,0.3729117909920677
replication99,0.08245174928184147,0.3942233491346048,2.6769057161281418,0.366889240024703
replication100,0.08328962345854911,0.36748499727223133,2.425050591522763,0.3684500785835634
