replication,kpi1,kpi2,kpi3,kpi4
replication1,0.08382217624388176,0.08145497912939774,0.21850869183302957,0.12817505430782408
replication2,0.08449142723605912,0.08803691870784522,0.23663530330887206,0.1290308795116718
replication3,0.08478050816640474,0.08650559811431939,0.23126825346438873,0.129992192545061
replication4,0.08238828922922006,0.07325651910248636,0.19213657494249317,0.12066746401513462
replication5,0.08469770523265108,0.08121827411167512,0.22646678234996626,0.12867871459530744
replication6,0.08569563853898668,0.0802706802006767,0.21213322140617372,0.1289444052393217
replication7,0.08534712888449082,0.09567865089588945,0.23430182021080292,0.12780365802022944
replication8,0.08407310085009737,0.07727975270479134,0.19893831274285168,0.12496855835999612
replication9,0.08190651762459902,0.07384352496033199,0.19029669727145873,0.12205803913556641
replication10,0.08207669697054744,0.09148495553660617,0.2451155181911522,0.1219372730639406
replication11,0.0826395970152859,0.07779794313369631,0.21017688050592248,0.12267804609899517
replication12,0.08251719977763726,0.07451835696110505,0.1945133152585453,0.12543176305874726
replication13,0.0812480638092555,0.07259751445797957,0.18502154473998755,0.11996925596021239
replication14,0.08179194471092664,0.07444077741107444,0.20459163677291214,0.12111675372129574
replication15,0.08310977261694479,0.07987489474317334,0.198232514592737,0.12723203114367473
replication16,0.08278883856844323,0.08247796159884072,0.21048042143266538,0.12328433151931252
replication17,0.08163336524405637,0.08656789518795151,0.2346383273056386,0.12276623548396207
replication18,0.08342478843303888,0.09382863990413422,0.24808551045706587,0.12925507015283427
replication19,0.08261928252400792,0.08168945903424907,0.21174096575717447,0.12248485034816632
replication20,0.08183035589031505,0.07318265119120342,0.18117207874497535,0.12057494025752105
replication21,0.08471832802320181,0.08544789330815532,0.2293141600107843,0.12603029338649518
replication22,0.0845681340485342,0.08249615884647205,0.21971690680247583,0.12746587159777498
replication23,0.08271511459919373,0.0826186737528687,0.23124572135644966,0.12384506747270765
replication24,0.08295444701578558,0.08497047125467036,0.22972233125301483,0.12455560180444654
replication25,0.08374099495954167,0.08165214277187537,0.22465500490578247,0.12710588516706628
replication26,0.08585839844864254,0.08151857458949575,0.2168860782802749,0.1295940528936908
replication27,0.08386383590590456,0.08652127279227743,0.24402646061004424,0.12879143372725402
replication28,0.08385848616665179,0.08190271816881259,0.21449990885508832,0.12431106781241862
replication29,0.08483491963155804,0.0807307012374779,0.2302700878782137,0.12778567970174867
replication30,0.08315579227548403,0.08041831950955644,0.2299801136650789,0.12551280161462153
replication31,0.08143659752400007,0.07084100675260896,0.19866529523434676,0.11967729220676948
replication32,0.08420014811275368,0.08108749851596818,0.22559817122572262,0.12724493447718335
replication33,0.08265622483562661,0.07596467884359502,0.20947899986398383,0.12484497745418795
replication34,0.08232703387388732,0.07755795606262895,0.20558149422808744,0.12311615312941118
replication35,0.08098137909804266,0.06960385042576823,0.17972903651614736,0.1200043414936777
replication36,0.08381336361346264,0.08517237265895264,0.21842432086183158,0.12731821982300884
replication37,0.08196974245301915,0.07216871876142875,0.20259350203729962,0.11982903140722616
replication38,0.08395122234255725,0.09431939978563773,0.231092641989798,0.12948136563494744
replication39,0.08137937994620274,0.07580783880083548,0.2114182852056729,0.12493454510430865
replication40,0.08452820749929114,0.08350088704908339,0.21967347273077645,0.12765788854326374
replication41,0.08272356034819202,0.0817929201401474,0.23453125788775225,0.12546376965232447
replication42,0.07957497080493627,0.07537688442211055,0.20823641585327587,0.11838672849386928
replication43,0.08266409090708488,0.07594630547829241,0.20314786473672747,0.12342141550578606
replication44,0.08221613096902938,0.07754953202868603,0.23418809544212724,0.12174065659819387
replication45,0.08220916588383538,0.07716611982014826,0.20692101287095382,0.1178258278972462
replication46,0.08199759551176156,0.08779417144250701,0.22675053232621037,0.12196963064681832
replication47,0.08371511347153848,0.08837931446315538,0.23594183178269296,0.12732071125833064
replication48,0.08582045893220769,0.08186793990916502,0.23116812637182055,0.1294769777916583
replication49,0.0838305499818214,0.086463923673226,0.2336828726746477,0.12284080716868041
replication50,0.08354765943671524,0.0862749790594711,0.21532213301146588,0.12664495573411463
replication51,0.0842293207664856,0.08035608308605341,0.19931015775451563,0.12510372625058
replication52,0.08477091019005605,0.07265007665998349,0.1963743895894714,0.12791353436355932
replication53,0.08511161316458765,0.0821097145542112,0.21552844026279552,0.13025059077438209
replication54,0.08273394851327023,0.07782477341389728,0.20948119184709854,0.1252828514903525
replication55,0.08457796983373513,0.06995155382252156,0.1965050293688391,0.12577463365842773
replication56,0.08417481924177567,0.07875044542107139,0.19290361639672687,0.12509646860070134
replication57,0.08317868117329907,0.07188363986056016,0.20677643848104785,0.12418535129327078
replication58,0.08573509017167931,0.08672339433500408,0.20895312946461123,0.13195074866717899
replication59,0.08359717552389638,0.07690467647410597,0.19296299598905034,0.124016132509103
replication60,0.08269875043227014,0.08461259518916958,0.22630498219123477,0.12295913852878393
replication61,0.0837924815471706,0.08053931511752774,0.21173207403385189,0.12314351135191387
replication62,0.07979357904868979,0.07755920310738003,0.21045447683201293,0.11990770785971167
replication63,0.08315204802609089,0.08210121408823176,0.2042707923755982,0.12329860962786925
replication64,0.08271668131360162,0.07844796325395866,0.20232976901033198,0.12328581462350119
replication65,0.0813189960207227,0.07684741177917127,0.20237602401270116,0.12414097576681314
replication66,0.08351308114762905,0.07574488452794065,0.21829055746163142,0.12748792987777632
replication67,0.08517747718750375,0.08768634816292992,0.25112894472360087,0.12893754433704868
replication68,0.08542102636033824,0.07641895845523698,0.2043692451049216,0.12832403854083332
replication69,0.08260121155371901,0.07858783702091646,0.21142110330114341,0.12434165498316967
replication70,0.08345730621845891,0.08937342757877081,0.2426107575892734,0.12694870333254105
